representative	member
A0A140D2T1_ZIKV	A0A140D2T1_ZIKV
A0A192B1T2_9HIV1	A0A192B1T2_9HIV1
A0A192B1T2_9HIV1	Q2N0S5_9HIV1
A0A192B1T2_9HIV1	ENV_HV1B9
A0A192B1T2_9HIV1	ENV_HV1BR
A0A1I9GEU1_NEIME	A0A1I9GEU1_NEIME
A0A247D711_LISMN	A0A247D711_LISMN
A0A2Z5U3Z0_9INFA	A0A2Z5U3Z0_9INFA
A0A2Z5U3Z0_9INFA	C6KNH7_9INFA
A4_HUMAN	A4_HUMAN
A4D664_9INFA	A4D664_9INFA
A4GRB6_PSEAI	A4GRB6_PSEAI
AACC1_PSEAI	AACC1_PSEAI
ACE2_HUMAN	ACE2_HUMAN
ADRB2_HUMAN	ADRB2_HUMAN
AICDA_HUMAN	AICDA_HUMAN
AMFR_HUMAN	AMFR_HUMAN
AMIE_PSEAE	AMIE_PSEAE
ANCSZ	ANCSZ
ARGR_ECOLI	ARGR_ECOLI
B2L11_HUMAN	B2L11_HUMAN
BBC1_YEAST	BBC1_YEAST
BCHB_CHLTE	BCHB_CHLTE
BLAT_ECOLX	BLAT_ECOLX
BRCA1_HUMAN	BRCA1_HUMAN
BRCA2_HUMAN	BRCA2_HUMAN
CALM1_HUMAN	CALM1_HUMAN
CAPSD_AAV2S	CAPSD_AAV2S
CAR11_HUMAN	CAR11_HUMAN
CAS9_STRP1	CAS9_STRP1
CASP3_HUMAN	CASP3_HUMAN
CASP3_HUMAN	CASP7_HUMAN
CATR_CHLRE	CATR_CHLRE
CBPA2_HUMAN	CBPA2_HUMAN
CBS_HUMAN	CBS_HUMAN
CBX4_HUMAN	CBX4_HUMAN
CCDB_ECOLI	CCDB_ECOLI
CCR5_HUMAN	CCR5_HUMAN
CD19_HUMAN	CD19_HUMAN
CP2C9_HUMAN	CP2C9_HUMAN
CSN4_MOUSE	CSN4_MOUSE
CUE1_YEAST	CUE1_YEAST
D7PM05_CLYGR	D7PM05_CLYGR
D7PM05_CLYGR	Q8WTC7_9CNID
D7PM05_CLYGR	GFP_AEQVI
DLG4_RAT	DLG4_RAT
DLG4_RAT	DLG4_HUMAN
DN7A_SACS2	DN7A_SACS2
DNJA1_HUMAN	DNJA1_HUMAN
DOCK1_MOUSE	DOCK1_MOUSE
DYR_ECOLI	DYR_ECOLI
ENVZ_ECOLI	ENVZ_ECOLI
EPHB2_HUMAN	EPHB2_HUMAN
ERBB2_HUMAN	ERBB2_HUMAN
ESTA_BACSU	ESTA_BACSU
F7YBW8_MESOW	F7YBW8_MESOW
FECA_ECOLI	FECA_ECOLI
